



Watchman  n. Man employed to look after an empty building etc. At night.
Superior  —adj. 1 in a higher position; of higher rank. 2 a high-quality (superior leather). B supercilious (had a superior air). 3 (often foll. By to) better or greater in some respect. 4  written or printed above the line. —n. 1 person superior to another esp. In rank. 2 head of a monastery etc. (mother superior).  superiority n. [latin comparative of superus above]
Glutinous  adj. Sticky; like glue. [latin: related to *gluten]
Caption  —n. 1 wording appended to an illustration, cartoon, etc. 2 wording on a cinema or television screen. 3 heading of a chapter, article, etc. —v. Provide with a caption. [latin capio take]


Left bank  n. Bank of a river on the left facing downstream.

Mores  n.pl. Customs or conventions of a community. [latin, pl. Of mos custom]
Molecule  n. 1 smallest fundamental unit (usu. A group of atoms) of a chemical compound that can take part in a chemical reaction. 2 (in general use) small particle. [latin diminutive: related to *mole3]


Gutless  adj. Colloq. Lacking courage or energy.

Calliper  n. (also caliper) 1 (in pl.) Compasses for measuring diameters. 2 metal splint to support the leg. [var. Of *calibre]


Midland  —n. 1 (the midlands) inland counties of central england. 2 middle part of a country. —adj. Of or in the midland or midlands.
Unforgiving  adj. Not forgiving.


Stud-farm  n. Place where horses are bred.


Pail  n. 1 bucket. 2 amount contained in this.  pailful n. (pl. -s). [old english]

Refreeze  v. (-zing; past refroze; past part. Refrozen) freeze again.

Flavouring  n. (us flavoring) substance used to flavour food or drink.

Clientele  n. 1 clients collectively. 2 customers. [french and latin: related to *client]
Bran-tub  n. Lucky dip with prizes hidden in bran.
Inaugural  —adj. Of or for an inauguration. —n. Inaugural speech, lecture, etc. [french from latin auguro take omens: related to *augur]


Gloss2  —n. 1 explanatory comment added to a text, e.g. In the margin. 2 interpretation or paraphrase. —v. Add a gloss to (a text, word, etc.). [latin glossa tongue]
Know-all  n. Colloq. Person who claims or seems to know everything.


Time capsule  n. Box etc. Containing objects typical of the present time, buried for future discovery.

Bribe  —v. (-bing) (often foll. By to + infin.) Persuade to act improperly in one's favour by a gift of money etc. —n. Money or services offered in bribing.  bribery n. [french briber beg]
Mahlstick  var. Of *maulstick.
Unconnected  adj. 1 not physically joined. 2 not connected or associated. 3 disconnected (unconnected ideas).
Jumper2  n. 1 person or animal that jumps. 2 short wire used to make or break an electrical circuit.


Eject  v. 1 expel, compel to leave. 2 (of a pilot etc.) Cause oneself to be propelled from an aircraft as an emergency measure. 3 cause to be removed, drop out, or pop up automatically from a gun, cassette-player, etc. 4 dispossess (a tenant). 5 emit, send out.  ejection n. [latin ejicio eject- throw out]


Hit parade  n. Colloq. List of the current best-selling pop records.

Epidural  —adj. (of an anaesthetic) introduced into the space around the dura mater of the spinal cord. —n. Epidural anaesthetic. [from *epi-, *dura mater]


Well-founded  adj. (of suspicions etc.) Based on good evidence.
Proponent  n. Person advocating a motion, theory, or proposal. [latin: related to *propose]

L 
Swot  colloq. —v. (-tt-) 1 study hard. 2 (usu. Foll. By up, up on) study (a subject) hard or hurriedly. —n. Usu. Derog. Person who swots. [dial. Var. Of *sweat]

Enlighten  v. 1 (often foll. By on) inform (about a subject). 2 (as enlightened adj.) Progressive.

Harem  n. 1 women of a muslim household. 2 their quarters. [arabic, = sanctuary]
Disinfectant  —n. Substance that destroys germs etc. —adj. Disinfecting.
Rat  —n. 1 a rodent like a large mouse. B similar rodent (muskrat; water-rat). 2 turncoat. 3 colloq. Unpleasant or treacherous person. 4 (in pl.) Slang exclamation of annoyance etc. —v. (-tt-) 1 hunt or kill rats. 2 (also foll. By on) inform (on); desert, betray. [old english]
Wing-chair  n. Chair with side-pieces at the top of a high back.
Lymph gland  n. (also lymph node) small mass of tissue in the lymphatic system.
Legit  adj. Colloq. Legitimate (in sense 2). [abbreviation]
Free will  n. 1 power of acting independently of necessity or fate. 2 ability to act without coercion (did it of my own free will).


Litterbug  n. Colloq. Person who drops litter in the street etc.


Son et lumière  n. Entertainment by night at a historic building etc., using lighting effects and recorded sound to give a dramatic narrative of its history. [french, = sound and light]




Loosen  v. Make or become loose or looser.  loosen a person's tongue make a person talk freely. Loosen up 1 relax. 2 limber up.

Yankee  n. Colloq. 1 often derog. = *yank. 2 us inhabitant of new england or of the northern states. [origin uncertain: perhaps from dutch janke, diminutive of jan john, as a nickname]
Geodesic line  n. Shortest possible line between two points on a curved surface.
Data capture  n. Entering of data into a computer.
Fleabag  n. Slang shabby or unattractive person or thing.

Jemmy  n. (pl. -ies) burglar's short crowbar. [from the name james]
Arterial  adj. 1 of or like an artery. 2 (esp. Of a road) main, important. [french: related to *artery]

Misadventure  n. 1 law accident without crime or negligence (death by misadventure). 2 bad luck. 3 a misfortune.
Tenon  n. Wooden projection made for insertion into a cavity, esp. A mortise, in another piece. [latin: related to *tenor]



Frock-coat  n. Man's long-skirted coat.
Allergy  n. (pl. -ies) 1 adverse reaction to certain substances, esp. Particular foods, pollen, fur, or dust. 2 colloq. Antipathy. [greek allos other]
Dosh  n. Slang money. [origin unknown]
Double-think  n. Capacity to accept contrary opinions at the same time.
Unvarying  adj. Not varying.

Hair of the dog  n. Further alcoholic drink taken to cure the effects of drink.

I'll  contr. I shall; i will.

Thrice  adv. Archaic or literary 1 three times. 2 (esp. In comb.) Highly (thrice-blessed). [related to *three]

Half-sister  n. Sister with whom one has only one parent in common.

Night-time  n. Time of darkness.


Prostrate  —adj. 1 a lying face downwards, esp. In submission. B lying horizontally. 2 overcome, esp. By grief, exhaustion, etc. 3 growing along the ground. —v. (-ting) 1 lay or throw (esp. A person) flat. 2 refl. Throw (oneself) down in submission etc. 3 overcome; make weak.  prostration n. [latin prosterno -strat- throw in front]


-wise  suffix forming adjectives and adverbs of manner (clockwise; lengthwise) or respect (moneywise).

Hair-raising  adj. Terrifying.

Sepulchre  (us sepulcher) —n. Tomb, esp. Cut in rock or built of stone or brick. —v. (-ring) 1 place in a sepulchre. 2 serve as a sepulchre for. [latin sepelio bury]
Archbishop  n. Chief bishop of a province.
Re-entry  n. (pl. -ies) act of entering again, esp. (of a spacecraft, missile, etc.) Re-entering the earth's atmosphere.
Isotropic  adj. Having the same physical properties in all directions.  isotropy n. [from *iso-, greek tropos turn]
Wally  n. (pl. -ies) slang foolish or inept person. [origin uncertain]

Farina  n. 1 flour or meal of cereal, nuts, or starchy roots. 2 starch.  farinaceous adj. [latin]
Conceit  n. 1 personal vanity; pride. 2 literary a far-fetched comparison. B fanciful notion. [from *conceive]
Value  —n. 1 worth, desirability, or utility, or the qualities on which these depend. 2 worth as estimated (set a high value on my time). 3 amount for which a thing can be exchanged in the open market. 4 equivalent of a thing. 5 (in full value for money) something well worth the money spent. 6 effectiveness (news value). 7 (in pl.) One's principles, priorities, or standards. 8 mus. Duration of a note. 9 math. Amount denoted by an algebraic term. —v. (-ues, -ued, -uing) 1 estimate the value of, esp. Professionally. 2 have a high or specified opinion of.  valueless adj. Valuer n. [french past part. Of valoir be worth, from latin valeo]
Faucet  n. Esp. Us tap. [french fausset vent-peg]



Attire  formal —n. Clothes, esp. Formal. —v. (-ring) (usu. As attired adj.) Dress, esp. Formally. [french à tire in order]
Sus-  prefix assim. Form of *sub- before c, p, t.

Purposeless  adj. Having no aim or plan.
Irreconcilable  adj. 1 implacably hostile. 2 (of ideas etc.) Incompatible.  irreconcilability n. Irreconcilably adv.



First name  n. Personal or christian name.
Wavelength  n. 1 distance between successive crests of a wave. 2 this as a distinctive feature of radio waves from a transmitter. 3 colloq. Particular mode or range of thought.

Alter ego  n. (pl. -s) 1 one's hidden or second self. 2 intimate friend. [latin, = other self]

Herbaceous border  n. Garden border containing esp. Perennial flowering plants.
Adoptive  adj. Because of adoption (adoptive son). [latin: related to *adopt]
Colour-blind  adj. Unable to distinguish certain colours.  colour-blindness n.
Analogy  n. (pl. -ies) 1 correspondence; partial similarity. 2 arguing or reasoning from parallel cases.  analogical adj. [greek analogia proportion]
Oxon  abbr. (esp. In degree titles) of oxford university. [latin oxoniensis: related to *oxonian]

Rim  n. 1 edge or border, esp. Of something circular. 2 outer edge of a wheel, holding the tyre. 3 part of spectacle frames around the lens.  rimless adj. Rimmed adj. (also in comb.). [old english]
-ibly  suffix forming adverbs corresponding to adjectives in -ible.

Soar  v. 1 fly or rise high. 2 reach a high level or standard. 3 fly without flapping the wings or using power. [french essorer]
Undiluted  adj. 1 not diluted. 2 complete, utter.





Jesus  int. Colloq. Exclamation of surprise, dismay, etc. [name of the founder of the christian religion]
Temporal  adj. 1 worldly as opposed to spiritual; secular. 2 of time. 3 gram. Denoting time or tense (temporal conjunction). 4 of the temples of the head (temporal artery). [latin tempus -por- time]


Morpheme  n. Linguistics meaningful unit of a language that cannot be further divided (e.g. In, come, -ing, forming incoming). [greek morphe form]
Caramel  n. 1 a burnt sugar or syrup as a flavouring or colouring. B a kind of soft toffee. 2 light-brown colour.  caramelize v. (also -ise) (-zing or -sing). [french from spanish]

Backlog  n. Arrears of work.
Breach of promise  n. Breaking of a promise, esp. To marry.
Coincidence  n. 1 coinciding. 2 remarkable concurrence of events etc. Apparently by chance.  coincident adj.


Tuba  n. (pl. -s) low-pitched brass wind instrument. [latin, = trumpet]



Bulldog clip  n. Strong sprung clip for papers.
Sunrise  n. 1 sun's rising. 2 time of this.
Disgraceful  adj. Shameful; causing disgrace.  disgracefully adv.
Pendulous  adj. Hanging down; drooping and swinging.  [latin pendulus from pendeo hang]

Goalkeeper  n. Player defending a goal.
Hebraic  adj. Of hebrew or the hebrews.
Acetylene  n. Hydrocarbon gas burning with a bright flame, used esp. In welding.
One-time  attrib. Adj. Former.

Sublimate  —v. (-ting) 1 divert (esp. Sexual energy) into socially more acceptable activity. 2 convert (a substance) from the solid state directly to vapour by heat, and usu. Allow it to solidify again. 3 refine; purify; idealize. —n. Sublimated substance.  sublimation n. [latin: related to *sublime]




Gesture  —n. 1 significant movement of a limb or the body. 2 use of such movements, esp. As a rhetorical device. 3 action to evoke a response or convey intention, usu. Friendly. —v. (-ring) gesticulate. [latin gestura from gero wield]

Savour  (us savor) —n. 1 characteristic taste, flavour, etc. 2 hint of a different quality etc. In something. —v. 1 appreciate and enjoy (food, an experience, etc.). 2 (foll. By of) imply or suggest (a specified quality). [latin sapor]
Parkinson's law  n. Notion that work expands to fill the time available for it. [parkinson, name of a writer]


Impiety  n. (pl. -ies) 1 lack of piety or reverence. 2 act etc. Showing this.
Mewl  v. 1 whimper. 2 mew like a cat. [imitative]
Bauble  n. Showy worthless trinket or toy. [french ba(u)bel toy]



Boater  n. Flat-topped straw hat with a brim.

Interpolate  v. (-ting) 1 a insert (words) in a book etc., esp. Misleadingly. B make such insertions in (a book etc.). 2 interject (a remark) in a conversation. 3 estimate (values) between known ones in the same range.  interpolation n. Interpolator n. [latin interpolo furbish]
