healthy food;tofu
view from a lighthouse;sea
one carrying a back pack;ass
comely one;looker
paid in full;even
discontinue;cease
it may have a big bill;theater
city of paris;troy
prohibition;taboo
hardly a fop;slob
cutting tool;scissors
auctioneers final word;sold
shrub of the rose family;sloe
triumph;win
burn the surface of;sear
deeply blushing;red
title girl in a 2002 disn;lilo
candid maybe;photo
sampling problem;bias
egypts king;tut
being from beyond earth;alien
museo contents;arte
mathematical array;matrix
story;myth
plume source;egret
out of work;idle
opus with singing;oratorio
word with apple or desser;cart
unclear  recondite;obscure
line used in print run;dash
fluffy scarf of feathers;boa
holier  thou;than
senior politician disaster now with him after ballsup;shadow
programmers work;code
dessert to a brit;afters
yoyo;idiot
steamed;angry
nbcs rival;abc
exchange buy;stock
heat requirement;timekeeper
cured herring;kipper
popular microsoft softwar;word
father;padre
aroma;scent
overly brainy sort;nerd
deposit;sediment
blow away;awe
sailor;mariner
disprove;rebut
operate a car;drive
skeleton component;ulna
bribe informally;grease
trifle;toy
gigantic;mammoth
card table action;meld
wine characteristic;nose
word on a ouija board;yes
mintage;specie
some casual wear;levis
au fait;able
professorial material;tweed
it may be vinyl or alumin;siding
team;side
carrier in the star allia;sas
gel;harden
boil slowly at low temperature;simmer
hamilton is on it;ten
letters on headstone producing tear;rip
miners pay dirt;ore
clerk;seller
ally holding revolutionary weapon;machete
fashion accessory;necktie
bright;sunny
conclude ones argument;rest
salk vaccine target;polio
it may be fixed;stare
disfigure;mar
bring down;undo
forbidden fruit site;eden
kind of point or theory;set
stone worker;mason
something seen on a pad;helicopter
published;ran
what honeyeaters eat;nectar
forever;eternity
pal;friend
computer language;fortran
fores opposite;abaft
miamitoboston dir;nne
words to live by;tenet
mineo of exodus;sal
prop for picasso;easel
common fathers day gift;tie
implant;embed
unfriendly as a greeting;chilly
distressing upsetting;hurtful
a great deal;much
tine;prong
grandfathers relation;yarn
do away with;efface
uncommon success in bowling engrosses son;sparse
relay team member;anchor
giant in cooperstown;ott
jazz age dance;stomp
wedding notice word;nee
better half;spouse
opposing;anti
rooftop perhaps;heliport
moreover;also
one of about 100 billion;neuron
figureheads place;prow
more than a brat;terror
one prefix;uni
month of the indianapolis;may
runners place;sled
breakfast appliance;toaster
push;urge
benevolent fellow;elk
useless fish in lake on the contrary;idle
for this or that;per
oversight;error
pinched;needy
neoclassic style;empire
sass;cheek
terse review;ugh
part of a smoke screen;wisp
like foam rubber;spongy
very very tired;dead
paleontologists discover;jawbone
mass of moistened flour;dough
tasseled cap;fez
having a hard time decidi;torn
sinful single nurses call for attention;unhallowed
frame insert;lens
refraction phenomenon;halo
w2 eg;form
big wall street news;merger
grave words for those who are late;epitaph
jolly roger depiction;skull
yorkshire flat cap up top;tabard
seesaw;waver
start rewriting notes;onset
excessive papers going over the same thing;ditto
spear;lance
name to a position;appoint
tell all;blab
pace;tempo
bring uptodate;brief
crown;diadem
atelier item;palette
place with now serving;deli
educ support group;pta
niche;place
distribute with out;parcel
something blown by itself to a large extent;trumpet
sandwich shop;deli
how santa travels;alone
battle;clash
pompeii eg today;ruin
finder of missing persons;tracer
casino action;roll
tarnish;sully
tamed;gentle
william to diana;son
break into smithereens;smash
lacking the skill;unable
feudal worker;serf
goblet;chalice
it appears after regularly adding a number;digit
realtors offering;lot
throne;seat
tea taken with rather uninteresting clergyman;chaplain
fail miserably in slang;tank
mouth that doesnt talk;delta
pony provoker;spur
loved;one
get the fruit of anothers labour thats a feature of 22 down 26s game plan initially;scrump
appeal to dictators worked on a shortterm basis;tempt
subjugate;oppress
like many a resort;seaside
look back on nicer times less hurt ultimately different;reminisce
substantially;far
likeminded;one
in a sour mood;morose
move laterally;sidle
watering place;spa
navel;belly button
sign;symbol
loose nut;escapee
wryly humorous;ironic
ad addon;lib
dram;nip
flag location;hole
seeming;apparent
what a surfer rides;wave
examine;sift
kind of pool;gene
egg white;albumen
transfuse;endue
broadcast portion;audio
outer limit;end
certain sorority chapter;zeta
epithet;slur
no telephone boxes  little space;denial
hot;racy
fly into the wild blue yo;soar
poe family name;usher
sourdoughs strike;lode
home to some fighters;airbase
be present at;attend
part of a sector;arc
hors doeuvres bit var;caviare
giant giant;ott
good housekeeping approva;seals
bow;salaam
tartan wearer;scotsman
exist naturally;inhere
mac maker;apple
starting point;seed
aquarium growth;alga
anxious feeling;angst
snout;nose
not exaggerated;literal
kind of meeting at a scho;pta
language from which mako;maori
catfish row in porgy and;tenement
inebriated;drunk
dirty;mucky
brave;heroic
feldspar eg;mineral
beatles record label;apple
four years for a preside;term
graph of british catarrh needing amendment;bar chart
sooner than;ere
drink for dracula;blood
shore  disease;seaside
ends of the earth;antipodes
worship leader;imam
biblical figure who says;job
super bargain;steal
gov rockefeller;nelson
they generally run eastw;sts
shocking;lurid
its fine for a refinery;ore
one of a couple at a fren;madame
nutrition drink brand;ensure
needing a seat belt exten;obese
small drawing;sip
supporter;booster
stunning triumph;coup
spike in a directors cha;lee
congeal;clot
expostulate;argue
monopoly acquisition;deed
small egg;ovule
to no  worthless;avail
fortuitous;incidental
oldtime ruler;czar
drivers choice;sedan
running errands say;about
far from ruddy;ashy
shoot something to eat;sprout
hunk of fairway;divot
category;type
dancers woe;trip
stay;remain
there are five in a shill;pence
pisa dough;lira
line of suits;pinstripe
blind followers;sheep
seasoning plant;herb
the least bit;any
actress celeste;holm
layperson in a monastery;oblate
kind of life insurance;term
creamy cheese;brie
monster part accepted by garbo greta;ogre
swerve back and forth as;fishtail
game with a dummy;bridge
what mr chips taught;latin
rival in tavern finally shot cowboy;incompetent
short end;stub
exam type;oral
stimulate;arouse
it may be given with a bo;reverence
ni;pinta
sharers word;our
nautical journal;log
red cross supply;blood
strain;sieve
one may be prepared for s;kit
swim stroke;crawl
bell sound;ding
navy rank;admiral
depend on contents of reference library quite the opposite;rely
object of a 1960s protes;draft
asphalt eg;pave
bad for good;slang
orkin target;termite
yellow shade;ochre
gorilla eg;ape
like best buds;tight
one of the three hs in a;hazy
look of a wolf;leer
puzzle not having a positive value;nonplus
makeup mishap;smear
it separates two breaks;act
uncredited actor;extra
eastern temple;pagoda
bawl;sob
river of wine;madeira
member of a caste system;ant
trouble;ado
gab;prate
characters from bel air transvestites twirling in drag;trial
soft pickle sandwiches mate;spouse
layer;stratum
one doing fitting work;tailor
one on a longship;viking
squirm;wriggle
cotillion girl;deb
kind of package;severance
word of assent;aye
retail outlet quiet before work;shop
get satisfaction for;avenge
newspaper supply;ink
check to make sure;reread
theyre sometimes put on;airs
rounded lump;glob
conversation;chat
prefix with structure;infra
constellation near perseu;aries
site for three men in a t;spa
rankle;irk
language of the british i;erse
body of rector found in wood;corpse
roof overhangs;eaves
insincerely fluent;glib
right away heres to you getting advance;posit
blow the whistle on;expose
fate;karma
weightlifting move;snatch
brain scan abbr;eeg
correspondence that may c;email
sightrelated;optic
alabamas state flower;camellia
railway track policy;line
modern meeting place wit;net
resident has no time to pack case;nominative
a criminal may go by it;alias
business owners dreaded;red
sale item maybe;irregular
straight;true
grouse;gripe
sprinkle after a shower;talc
endorse;okay
classic toy company;ideal
about 10 of new zealande;maori
a camel may be executed o;ice
hitchcock classic seeming;rope
take down a peg;abase
clearly reasoned;logical
it might be checked at th;age
see 24 down;cassette
saturn eg;deus
kind person;sort
practical application;usage
oodles;many
stroke;pet
use the answer to any of;err
get on the horn;phone
feeder of the bodys orga;aorta
must say;odor
shorelines do it;erode
backandforth;banter
warring;fighting
it has a spot on it;ace
shawm descendant;oboe
get rid of;ditch
where birds fly in the fa;south
figure in some mysterious;unicorn
set of door slats;louvre
product introduced by 7d;cologne
prayer receiver with th;lord
title pig in a 1995 film;babe
assumption;premise
kind of instrument;reed
english court;chancery
you can get a rise out of;yeast
two who smooch say;item
reach;attain
cigarette that once adver;kent
popular;hot
one seen in h;umlaut
st nick accessory;pipe
make a bust maybe;sculpt
feature;detail
like a liberal arts educa;broad
bucks eg;deer
big computer maker;dell
its harvested in hawaii;taro
kind of engineer;civil
water for one;oxide
snarly dog;cur
darling;pet
transport belied description of fare;edible
questionnaire option oft;male
period;epoch
fanatical;extreme
civil war general;lee
onetime toyota model;tercel
shout at a soccer game;goal
evictee from paradise;adam
society page word;nee
long ago;yore
feline ennead;lives
notes greek character printed as originally written;music
make piles say;sort
when taps is played;ten
oldfashioned news transm;telex
sore;tender
rout;debacle
paving material;asphalt
foals father;sire
suits bottom;ace
yes i will set about government upturn;surge
nonsharing type;pig
wee;small
more than patch up;redo
mildmannered type;lamb
urge;goad
child with no parents;orphan
galley feature;tier
pull behind;drag
ellipsis part;dot
adverse reaction as german behind bars injects man with vaccine from behind;backlash
dramatist;playwright
weave in a way;twill
control spot;helm
unusual threebar interval;breather
score component;note
building on the beach;resort
clothing material that ma;denim
see;bishopric
move with ones tail betw;slink
tightlycurled;frizzy
air condition;smog
aptitude;skill
vchip target;sex
museum hanging;oil
shul vip;rabbi
bun bit;tress
clintons birthplace;hope
for example 26 note and 11;tetrad
sheeps coat;wool
cotton alternative;rayon
todo made by female american with son;fuss
tuesday in hollywood;weld
fold member;ewe
fall locale;eden
strangle;throttle
kid;josh
coop resident;hen
repeated cry at a beer bl;chug
widows inheritance;dower
article endlessly cold  cold and sweet;angelic
beat it;bongo
it may be difficult to dr;smog
a house divided;senate
brightly colored;loud
muscle malady;cramp
get seated;locate
preserves holder;jamjar
its often in the 90s;octane
swimming stroke;butterfly
chick;nestling
souse;sot
award for a knight abbr;obe
prefix with starter;self
british private soldier;tommy
partly melted;soft
go for;prefer
one delivering a sermon as poor sportsman fails to finish;rabbi
window of an eye;cornea
sen gaylord  who ori;nelson
uncle sams bill from evian;green
irk;rankle
confidential matter;secret
awfully small;dinky
word to a dog;bad
church music maker;carillon
start to record first bees on tape;ribbon
disneys  of the sout;song
round figure;boxer
sum up;recap
castaways place;isle
cyberspace conversation;chat
put on hold;shelve
retribution;vengeance
stagnation shocked opponent;antagonist
throw hard;hurl
